도로명대지위치,주용도코드명,세대수,연면적(㎡),위도,경도,가중치,UTM_X,UTM_Y
경상북도 영주시 번영로181번길 46 (영주동),단독주택,1,106.42,36.8275608531828,128.622176859909,0.832909122935104,1100073.7230823825,1870515.8610298745
경상북도 영주시 광복로32번길 10 (영주동),단독주택,1,618.54,36.827519941458,128.62166222412,0.832909122935104,1100027.8803827357,1870510.7836876167
경상북도 영주시 광복로32번길 3 (영주동),단독주택,1,165.81,36.8277266614264,128.621996886707,0.832909122935104,1100057.456874222,1870534.0667078905
경상북도 영주시 번영로181번길 40 (영주동),단독주택,1,69.35,36.8275559914194,128.622420866246,0.832909122935104,1100095.4902553684,1870515.5772141714
경상북도 영주시 번영로181번길 42 (영주동),단독주택,1,87.19,36.8275840545704,128.622305568748,0.832909122935104,1100085.1712990562,1870518.5696806628
경상북도 영주시 번영로181번길 48 (영주동),단독주택,1,187.01,36.8276447661699,128.622102081487,0.832909122935104,1100066.9449416755,1870525.0917081512
경상북도 영주시 광복로 43-1 (영주동),단독주택,1,87.73,36.8279758912323,128.623203983202,1.1239300966523995,1100164.7823300315,1870562.9797288482
경상북도 영주시 광복로 43-7 (영주동),단독주택,1,70.0,36.8283021264463,128.623251561768,1.1239300966523995,1100168.6000862694,1870599.2208549697
경상북도 영주시 광복로 43-7 (영주동),단독주택,1,90.5,36.8283021264463,128.623251561768,1.1239300966523995,1100168.6000862694,1870599.2208549697
경상북도 영주시 광복로 43-7 (영주동),단독주택,1,36.36,36.8283021264463,128.623251561768,1.1239300966523995,1100168.6000862694,1870599.2208549697
경상북도 영주시 광복로 43-27 (영주동),단독주택,1,55.46,36.828607962995,128.623413928952,0.6380874033769178,1100182.681277403,1870633.3193610706
,단독주택,1,72.82,36.828416201998,128.623356526082,0.6380874033769178,1100177.8121197564,1870611.9859717304
,단독주택,1,45.36,36.8284515091631,128.623225465269,0.6380874033769178,1100166.078022574,1870615.765438196
경상북도 영주시 광복로 43-17 (영주동),단독주택,1,56.19,36.8285034054024,128.623087021266,0.6380874033769178,1100153.663874636,1870621.3775103467
경상북도 영주시 광복로 43-25 (영주동),단독주택,1,38.02,36.8285264507192,128.623392031805,0.6380874033769178,1100180.8347748765,1870624.2537530835
경상북도 영주시 광복로 43-23 (영주동),단독주택,1,58.67,36.8285636963221,128.623277375593,0.6380874033769178,1100170.561132609,1870628.265452179
경상북도 영주시 숫골길16번길 21-2 (영주동),단독주택,1,21.6,36.8286275828519,128.622993255335,0.6380874033769178,1100145.1399275449,1870635.0550119968
경상북도 영주시 숫골길16번길 21-2 (영주동),단독주택,1,48.66,36.8286275828519,128.622993255335,0.6380874033769178,1100145.1399275449,1870635.0550119968
,단독주택,1,35.8,36.8284935604255,128.622956799541,0.6380874033769178,1100142.063486724,1870620.1488865714
