code,codename,count,category,method,death_rate_2023,birth_rate_2023
289301,비동력식 수공구 제조업,13,제조업,prefix,6.8,6.6
181101,남자용 겉옷 제조업,13,제조업,prefix,6.8,6.6
523988,화초 및 식물 소매업,13,도매 및 소매업,prefix,13.0,14.5
261005,기타 판유리 가공품 제조업,13,제조업,prefix,6.8,6.6
523940,게임용구 인형 및 장난감 소매업,12,도매 및 소매업,prefix,13.0,14.5
642004,포털 및 기타 인터넷 정보 매개 서비스업,12,금융 및 보험업,prefix,9.7,11.9
921301,라디오 방송업,12,정보통신업,keyword(conflict),11.0,17.5
921304,방송 프로그램 제작업,12,정보통신업,keyword(conflict),11.0,17.5
222202,기타 인쇄관련 산업,12,제조업,prefix,6.8,6.6
452201,기타 건물 관련설비 설치 공사업,12,건설업,prefix,7.6,9.5
521992,체인화 편의점,12,도매 및 소매업,prefix,13.0,14.5
243000,합성섬유 제조업,12,제조업,prefix,6.8,6.6
749906,통관 대리 및 관련서비스업,12,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
171105,연사 및 가공사 제조업,12,제조업,prefix,6.8,6.6
924200,실내 경기장 운영업,12,"예술, 스포츠 및 여가관련 서비스업",keyword(conflict),13.5,16.2
702005,주거용 부동산 관리업,12,부동산업,prefix,8.9,10.9
514250,금속광물 도매업,12,도매 및 소매업,prefix,13.0,14.5
252101,플라스틱 선  봉  관 및 호스 제조업,12,제조업,prefix,6.8,6.6
701400,기타 부동산 임대업,12,부동산업,prefix,8.9,10.9
155102,소주 제조업,12,제조업,prefix,6.8,6.6
511116,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,12,도매 및 소매업,prefix,13.0,14.5
511114,음ㆍ식료품 및 담배 중개업,12,도매 및 소매업,prefix,13.0,14.5
551006,기타 일반 및 생활 숙박시설 운영업,12,숙박 및 음식점업,prefix,14.7,17.2
703022,비주거용 건물 개발 및 공급업,12,부동산업,prefix,8.9,10.9
522040,채소  과실 및 뿌리작물 소매업,12,도매 및 소매업,prefix,13.0,14.5
523321,가전제품 소매업,12,도매 및 소매업,prefix,13.0,14.5
369901,제조 / 유모차 가정용진공기,12,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
730007,자연과학 및 공학 융합 연구개발업,12,전문과학기술서비스업,prefix,9.7,14.9
749916,패션  섬유류 및 기타 전문 디자인업,12,전문과학기술서비스업,keyword(conflict),9.7,14.9
514311,도매 / 하드보드  합판,12,도매 및 소매업,prefix,13.0,14.5
154909,그 외 기타 식료품 제조업,12,제조업,prefix,6.8,6.6
281104,육상 금속 골조 구조재 제조업,12,제조업,prefix,6.8,6.6
741402,직원 훈련기관,12,교육서비스업,keyword(conflict),12.9,16.9
922102,기타 일반 기계 및 장비 수리업,12,"협회 및 단체, 수리 및 기타 개인서비스업",keyword(conflict),10.0,13.5
512112,곡물 및 유지작물 도매업,12,도매 및 소매업,prefix,13.0,14.5
151101,육류 도축업(가금류 제외),12,제조업,prefix,6.8,6.6
741109,기타 법무관련 서비스업,12,전문과학기술서비스업,keyword(conflict),9.7,14.9
851103,한방병원,12,교육서비스업,prefix,12.9,16.9
921100,영화   비디오물 및 방송 프로그램 배급업,12,정보통신업,keyword(conflict),11.0,17.5
272200,기타 비철금속 제련   정련 및 합금 제조업,12,제조업,prefix,6.8,6.6
523952,예술품 및 골동품 소매업,12,도매 및 소매업,prefix,13.0,14.5
741300,시장 조사 및 여론 조사업,12,전문과학기술서비스업,keyword(conflict),9.7,14.9
172101,침구 및 관련제품 제조업,12,제조업,prefix,6.8,6.6
289102,금속 단조제품 제조업,12,제조업,prefix,6.8,6.6
