roc_auc,pr_auc,precision@10,precision@50,precision@100,model,rep,fold,n_train,n_val,n_pos_val,experiment
0.5432396839332748,0.613688399852048,0.9,0.56,0.47,voting_weighted,2,4,541,135,67,voting_weighted
0.6798701298701298,0.7165780617336156,0.9,0.68,0.58,voting_weighted,3,0,540,136,70,voting_weighted
0.728270412642669,0.7034985279583892,0.8,0.7,0.59,voting_weighted,3,1,541,135,67,voting_weighted
0.6525460930640913,0.699925209703355,0.9,0.64,0.54,voting_weighted,3,2,541,135,67,voting_weighted
0.6619841966637401,0.6619568558832332,0.8,0.64,0.53,voting_weighted,3,3,541,135,67,voting_weighted
0.5432396839332748,0.613688399852048,0.9,0.56,0.47,voting_weighted,3,4,541,135,67,voting_weighted
0.6798701298701298,0.7165780617336156,0.9,0.68,0.58,voting_weighted,4,0,540,136,70,voting_weighted
0.728270412642669,0.7034985279583892,0.8,0.7,0.59,voting_weighted,4,1,541,135,67,voting_weighted
0.6525460930640913,0.699925209703355,0.9,0.64,0.54,voting_weighted,4,2,541,135,67,voting_weighted
0.6619841966637401,0.6619568558832332,0.8,0.64,0.53,voting_weighted,4,3,541,135,67,voting_weighted
0.5432396839332748,0.613688399852048,0.9,0.56,0.47,voting_weighted,4,4,541,135,67,voting_weighted
